,Area,Item,Year,hg/ha_yield,average_rain_fall_mm_per_year,pesticides_tonnes,avg_temp
0,Albania,Maize,1990,36613,1485.0,121.0,16.37
1,Albania,Potatoes,1990,66667,1485.0,121.0,16.37
2,Albania,"Rice, paddy",1990,23333,1485.0,121.0,16.37
3,Albania,Sorghum,1990,12500,1485.0,121.0,16.37
4,Albania,Soybeans,1990,7000,1485.0,121.0,16.37
5,Albania,Wheat,1990,30197,1485.0,121.0,16.37
6,Albania,Maize,1991,29068,1485.0,121.0,15.36
7,Albania,Potatoes,1991,77818,1485.0,121.0,15.36
8,Albania,"Rice, paddy",1991,28538,1485.0,121.0,15.36
9,Albania,Sorghum,1991,6667,1485.0,121.0,15.36
10,Albania,Soybeans,1991,6066,1485.0,121.0,15.36
11,Albania,Wheat,1991,20698,1485.0,121.0,15.36
12,Albania,Maize,1992,24876,1485.0,121.0,16.06
13,Albania,Potatoes,1992,82920,1485.0,121.0,16.06
14,Albania,"Rice, paddy",1992,40000,1485.0,121.0,16.06
15,Albania,Sorghum,1992,3747,1485.0,121.0,16.06
16,Albania,Soybeans,1992,4507,1485.0,121.0,16.06
17,Albania,Wheat,1992,24388,1485.0,121.0,16.06
18,Albania,Maize,1993,24185,1485.0,121.0,16.05
19,Albania,Potatoes,1993,98446,1485.0,121.0,16.05
20,Albania,"Rice, paddy",1993,41786,1485.0,121.0,16.05
21,Albania,Soybeans,1993,7998,1485.0,121.0,16.05
22,Albania,Wheat,1993,29976,1485.0,121.0,16.05
23,Albania,Maize,1994,25848,1485.0,201.0,16.96
24,Albania,Potatoes,1994,81404,1485.0,201.0,16.96
25,Albania,Soybeans,1994,7927,1485.0,201.0,16.96
26,Albania,Wheat,1994,24745,1485.0,201.0,16.96
27,Albania,Maize,1995,31300,1485.0,251.0,15.67
28,Albania,Potatoes,1995,111323,1485.0,251.0,15.67
29,Albania,Soybeans,1995,11791,1485.0,251.0,15.67
30,Albania,Wheat,1995,28703,1485.0,251.0,15.67
31,Albania,Maize,1996,32604,1485.0,313.96,15.64
32,Albania,Potatoes,1996,106138,1485.0,313.96,15.64
33,Albania,Soybeans,1996,15480,1485.0,313.96,15.64
34,Albania,Wheat,1996,21741,1485.0,313.96,15.64
35,Albania,Maize,1997,31862,1485.0,376.93,15.9
36,Albania,Potatoes,1997,109874,1485.0,376.93,15.9
37,Albania,Soybeans,1997,12768,1485.0,376.93,15.9
38,Albania,Wheat,1997,28516,1485.0,376.93,15.9
39,Albania,Maize,1998,33416,1485.0,439.89,16.27
40,Albania,Potatoes,1998,127212,1485.0,439.89,16.27
41,Albania,Soybeans,1998,14327,1485.0,439.89,16.27
42,Albania,Wheat,1998,28037,1485.0,439.89,16.27
43,Albania,Maize,1999,37455,1485.0,502.86,16.57
44,Albania,Potatoes,1999,142018,1485.0,502.86,16.57
45,Albania,Soybeans,1999,17143,1485.0,502.86,16.57
46,Albania,Wheat,1999,24954,1485.0,502.86,16.57
47,Albania,Maize,2000,38811,1485.0,565.82,16.67
48,Albania,Potatoes,2000,141228,1485.0,565.82,16.67
49,Albania,Soybeans,2000,15000,1485.0,565.82,16.67
50,Albania,Wheat,2000,30455,1485.0,565.82,16.67
51,Albania,Maize,2001,38135,1485.0,628.79,16.59
52,Albania,Potatoes,2001,148818,1485.0,628.79,16.59
53,Albania,Soybeans,2001,20000,1485.0,628.79,16.59
54,Albania,Wheat,2001,28220,1485.0,628.79,16.59
55,Albania,Maize,2002,39460,1485.0,691.75,16.47
56,Albania,Potatoes,2002,153868,1485.0,691.75,16.47
